"Professional Search plugin";"Professional Search Plugin"
"There are no results that match your search. Please try again.";"There are no results that match your search. Please try again."
"%s result found";"%s result found";"%s results found"
"Member";"Member"
"View More";"View More"
"%s member found.";"%s member found.";"%s members found."
"Search";"Search"
"Search in %s";"Search in %s"
"All Results";"All Results"
"More +";"More +"
"Find all %s with %s";"Find all %s with %s"
"Show All Results";"Show All Results"
