"SESBLOG_PLUGIN";"Advanced Blog Plugin"
"Save Changes";"Save Changes"
"Title";"Title"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Check Availability";"Check Availability"
"Enter Image URL to upload";"Enter Image URL to upload"
"Upload";"Upload"
"Blogs we like";"Blogs we like"
"Import Blogs";"Import Blogs"
"Show this blog entry in search results";"Show this Blog entry in search results"
"Published";"Published"
"Explore Popular Blogs";"Explore Popular Blogs"
"Create Your Unique Blog";"Create Your Unique Blog"
"Explore All Blogs";"Explore All Blogs"
"Do you want to enable 'Continue Reading' button for your Blog?";"Do you want to enable 'Continue Reading' button for your Blog?"
"Saved As Draft";"Saved As Draft"
"Please wait till all photos uploaded.";"Please wait till all photos uploaded"
"You can use letters, numbers and periods.";"You can use letters, numbers and periods."
"Your photo has been removed.";"Your photo has been removed."
"Blog entry doesn't exist or not authorized to delete";"Blog entry doesn't exist or not authorized to delete"
"Your blog entry has been deleted.";"Your Blog entry has been deleted."
"Your changes have been saved.";"Your changes have been saved."
"Choose 2nd Level Category";"Choose 2nd Level Category"
"Custom Url is not available. Please select another URL.";"Custom Url is not available. Please select another URL."
"Write Review for ""<b>%s</b>"".";"Write review for ""<b>%s</b>""."
"Edit Review for ""<b>%s</b>"".";"Edit review for ""<b>%s</b>""."
"The selected review has been deleted.";"The selected review has been deleted."
"Delete Review?";"Delete Review?"
"Are you sure that you want to delete this review? It will not be recoverable after being deleted.";"Are you sure that you want to delete this review? It will not be recoverable after being deleted."
"Compose your review below, then click ""Post Review"" button.";"Compose your review below, then click Post Review"" button."""
"You are already subscribed to this member\'s blog.";"You are already subscribed to this member\'s Blog."
"You are now subscribed to this member\'s blog.";"You are now subscribed to this member\'s Blog."
"You are no longer subscribed to this member\'s blog.";"You are no longer subscribed to this member\'s Blog."
"Favourite";"Favourite"
"Un-Favourite";"Un-Favourite"
"Blog shared successfully.";"Blog shared successfully."
"Blog Un-Favourited successfully";"Blog Un-Favourited successfully"
"Blog Liked successfully";"Blog Liked successfully"
"Blog Un-Liked successfully";"Blog Un-Liked successfully"
"Review Un-Liked successfully";"Review Un-Liked successfully"
"Review Liked successfully";"Review Liked successfully"
"Delete Album";"Delete Album"
"Are you sure you want to delete this album? It will not be recoverable after being deleted.";"Are you sure you want to delete this album? It will not be recoverable after being deleted."
"Edit Album Settings";"Edit Album Settings"
"Album Title";"Album Title"
"Please specify an album title";"Please specify an album title"
"Album Description";"Album Description"
"Save Album";"Save Album"
"Album Cover";"Album Cover"
"Blog Contact Information";"Blog Contact Information"
"Email";"Email"
"Phone";"Phone"
"Facebook";"Facebook"
"Website";"Website"
"Save Contact Information";"Save Contact Information"
"SEO Details";"SEO Details"
"SEO Title";"SEO Title"
"Enter list of keywords seperated by a comma (,)";"Enter list of keywords seperated by a comma (,)"
"SEO Keywords";"SEO Keywords"
"SEO Description";"SEO Description"
"Blog Styles";"Blog Styles"
"Custom Blog Styles";"Custom Blog Styles"
"Remove Photo";"Remove Photo"
"Do you want to remove blog profile photo? Doing so will set your photo back to the default photo.";"Do you want to remove Blog profile photo? Doing so will set your photo back to the default photo."
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Save Photo";"Save Photo"
"You can change the colors, fonts, and styles of your blog by adding CSS code below. The contents of the text area below will be output between <style> tags on your blog.";"You can change the colors, fonts, and styles of your Blog by adding CSS code below. The contents of the text area below will be output between <style> tags on your blog."
"Delete Blog Photo";"Delete Blog Photo"
